

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T07:55:14PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
13|FAIRALL 1061|  0.09838 | -47.01881 |G|  5991| 0.019984 |    |14.93|  0.000|9|0|14|2|3|2|0
14|2MASX J00002482-0451473|  0.10351 |  -4.86313 |G|  5673| 0.018923 |    |16.28|  0.000|4|0|15|2|1|2|0
15|HIPASS J0000-07|  0.10750 |  -7.83222 |G|  3748| 0.012501 |    |     |  0.000|2|0|1|0|1|0|0
16|ESO 293- G 027|  0.12283 | -40.48447 |G|  3171| 0.010577 |    |14.08|  0.000|22|2|22|4|7|17|0
17|AGC 102729|  0.13375 |  30.86444 |RadioS|  4618| 0.015404 |    |     |  0.000|1|0|0|0|1|0|0
18|UGC 12898|  0.15600 |  33.60127 |G|  4778| 0.015938 |    |16.5 |  0.000|23|0|9|1|2|3|0
19|2dFGRS S357Z026|  0.19546 | -30.64639 |G|  4275| 0.014260 |    |18.56|  0.000|3|0|1|2|1|0|0
20|ESO 193- G 009|  0.22192 | -47.35681 |G|  5912| 0.019720 |    |15.13|  0.000|16|1|22|3|5|15|0
21|NGC 7802|  0.25175 |   6.24206 |G|  5324| 0.017759 |    |14.48|  0.000|14|1|11|2|2|7|0
22|GALEXASC J000109.10-162721.7  |  0.28813 | -16.45619 |G|  4718| 0.015738 |    |15.85|  0.000|3|0|5|1|1|0|0
23|KUG 2358+128A|  0.30575 |  13.14406 |G|  5461| 0.018216 |    |15.87|  0.000|32|0|27|2|3|6|0
24|MCG +02-01-010|  0.31238 |  13.11256 |G|  5590| 0.018646 |    |16.97|  0.000|29|0|16|1|1|3|0
25|IC 5376|  0.33237 |  34.52572 |G|  5032| 0.016785 |    |14.59|  0.000|33|0|23|3|7|7|0
26|NGC 7803|  0.33321 |  13.11125 |G|  5366| 0.017899 |    |14.06|  0.000|80|1|51|6|10|6|2
27|HCG 100|  0.33653 |  13.13255 |GGroup|  5336| 0.017800 |    |     |  0.000|36|1|1|0|1|0|0
28|2MASX J00012334+4733537|  0.34764 |  47.56505 |G|  5237| 0.017469 |    |15.61|  0.000|2|0|10|1|1|2|0
29|MRK 0934|  0.35850 |  13.11300 |G|  5256| 0.017532 |    |15.40|  0.000|49|0|23|6|6|6|0
30|NGC 7805|  0.36154 |  31.43375 |G|  4811| 0.016048 |    |14.2 |  0.000|77|6|31|7|11|8|0
31|GALEXASC J000127.34-275540.4  |  0.36421 | -27.92786 |G|  4854| 0.016192 |:   |19.38|  0.000|2|0|5|2|1|0|0
32|UGC 12910|  0.36833 |   5.38944 |G|  3948| 0.013169 |    |17.  |  0.000|12|1|11|2|4|3|0
33|NGC 7806|  0.37521 |  31.44186 |G|  4768| 0.015904 |    |14.31|  0.000|64|4|25|5|12|7|0
34|KHG 1-16|  0.38714 |  61.52831 |G|  4797| 0.016000 |    |     |  0.000|1|0|0|0|0|0|0
35|UGC 12914|  0.40967 |  23.48364 |G|  4371| 0.014580 |    |13.07|  0.000|102|5|32|3|14|7|0
36|PPS2 053|  0.41579 |  13.08172 |GGroup|  5357| 0.017869 |    |     |  0.000|1|0|0|0|0|0|0
37|VV 254|  0.41755 |  23.48975 |GPair|  4353| 0.014520 |    |12.7 |  0.000|59|5|23|5|0|0|0
38|USGC U004|  0.42417 |  13.06500 |GTrpl|  5378| 0.017939 |    |     |  0.000|1|0|0|0|0|0|0
39|UGC 12915|  0.42471 |  23.49589 |G|  4336| 0.014463 |    |13.95|  0.000|93|6|29|3|13|6|0
40|GALEXASC J000142.43-253436.9  |  0.42712 | -25.57694 |G|  4617| 0.015400 |    |17.23|  0.000|5|0|5|2|2|0|0
41|MRK 0935|  0.43845 |  13.10067 |G|  5600| 0.018680 |    |15.5 |  0.000|19|0|24|5|2|2|0
42|[M98j] 270|  0.46584 |  13.04505 |GGroup|  5343| 0.017822 |    |     |  0.000|1|0|0|0|0|0|0
43|UGC 12905|  0.50167 |  80.64222 |G|  4104| 0.013689 |    |16.5 |  0.000|10|0|0|2|0|3|0
44|GALEXASC J000202.24-073912.1  |  0.50942 |  -7.65369 |G|  3800| 0.012675 |    |17.21|  0.000|1|0|5|1|1|0|0
45|HIPASS J0002-07|  0.51542 |  -7.63222 |G|  3765| 0.012558 |    |     |  0.000|3|0|1|0|1|0|0
46|SDSS J000205.52-002611.8|  0.52303 |  -0.43663 |*|  5996| 0.020000 |PHOT|21.7g|  0.000|2|0|15|1|1|4|0
47|SDSS J000214.77+142916.0|  0.56157 |  14.48780 |G|  5216| 0.017400 |    |17.5g|  0.000|2|0|43|2|2|8|0
48|NGC 7810|  0.57983 |  12.97164 |G|  5532| 0.018453 |    |14.03|  0.000|33|1|32|5|6|7|0
49|GALEXASC J000225.37-480129.2  |  0.60496 | -48.02469 |G|  5238| 0.017472 |    |16.74|  0.000|0|0|5|1|1|0|0
50|GALEXASC J000227.43-161657.8  |  0.61462 | -16.28314 |G|  4727| 0.015768 |    |16.11|  0.000|2|0|5|1|1|0|0
51|[M98j] 271|  0.61656 |  31.44502 |GGroup|  4929| 0.016441 |    |     |  0.000|2|0|0|0|0|0|0
52|NGC 7805 GROUP|  0.61667 |  31.47836 |GTrpl|  4917| 0.016400 |    |     |  0.000|1|0|0|0|0|0|0
53|HIPASS J0002-15|  0.62292 | -15.97361 |G|  3416| 0.011395 |    |     |  0.000|2|0|1|0|1|0|0
54|IC 5378 NED02|  0.65708 |  16.65222 |G|  5834| 0.019460 |    |15.6 |  0.000|18|0|3|0|0|2|0
55|2MFGC 00036|  0.66038 | -43.36917 |G|  4669| 0.015574 |    |15.89|  0.000|5|0|17|1|1|2|0
56|CGCG 408-013|  0.66625 |   8.73700 |G|  5906| 0.019700 |    |15.83|  0.000|17|0|26|2|2|6|0
57|PPS2 054|  0.66671 |  31.37835 |GGroup|  4840| 0.016144 |    |     |  0.000|1|0|0|0|0|0|0
58|AM 0000-551|  0.68723 | -55.00844 |G|  3352| 0.011181 |    |16.36|  0.000|2|0|5|3|1|0|1
59|GALEXASC J000249.98-394613.9  |  0.70812 | -39.77084 |G|  3657| 0.012198 |    |17.38|  0.000|1|0|5|1|1|0|0
60|CGCG 498-067|  0.70921 |  31.48489 |G|  4952| 0.016518 |    |15.24|  0.000|20|0|17|3|3|5|0
61|SDSS J000255.11+142136.0|  0.72962 |  14.36000 |G|  5777| 0.019269 |    |18.4g|  0.000|5|0|28|1|2|4|0
62|KUG 0000+293|  0.73579 |  29.58440 |G|  4836| 0.016131 |    |17:  |  0.000|9|1|1|1|1|0|0
63|AGC 102981|  0.73708 |  28.29833 |RadioS|  4583| 0.015287 |    |     |  0.000|1|0|0|0|1|0|0
64|CGCG 498-068|  0.78700 |  31.03639 |G|  4797| 0.016001 |    |15.0 |  0.000|18|0|20|4|6|2|0
65|2MASX J00031825-1316187|  0.82608 | -13.27183 |G|  5616| 0.018733 |    |15.7b|  0.000|0|0|13|0|1|2|0
66|UGC 00011|  0.83946 |  22.10294 |G|  4447| 0.014834 |    |15.35|  0.000|21|1|17|2|2|7|0
67|KUG 0000+271|  0.85493 |  27.40279 |G|  4544| 0.015157 |    |17:  |  0.000|8|0|1|1|2|0|0
68|GALEXASC J000329.27-260954.9  |  0.87217 | -26.16575 |G|  4527| 0.015100 |:   |19.00|  0.000|2|0|5|2|1|0|0
69|GALEXASC J000330.15-222732.7  |  0.87574 | -22.45941 |G|  3566| 0.011895 |    |16.14|  0.000|6|0|6|3|1|0|0
70|2MASX J00033039-2637450|  0.87667 | -26.62911 |G|  5975| 0.019930 |    |16.61|  0.000|5|0|14|2|3|2|0
71|GALEXASC J000332.11-251758.0  |  0.88400 | -25.29950 |G|  3657| 0.012200 |    |17.26|  0.000|3|0|5|2|1|0|0
72|GALEXASC J000335.33-251941.0  |  0.89746 | -25.32808 |G|  3747| 0.012500 |    |19.24|  0.000|2|0|5|2|1|0|0
73|MCG -01-01-027|  0.89789 |  -7.69057 |G|  5394| 0.017992 |    |14.5 |  0.000|7|0|5|2|1|2|0
74|2MASX J00034142+7036434|  0.92267 |  70.61211 |G|  4620| 0.015411 |    |11.0K|  0.000|4|0|14|0|1|2|0
75|MCG -03-01-016|  0.93825 | -14.69489 |G|  5842| 0.019487 |    |15.18|  0.000|7|0|13|1|2|3|0
76|UGC 00026a|  0.94126 |  31.34334 |G|  4997| 0.016668 |    |16.88|  0.000|6|0|0|0|1|0|0
77|NGC 7816|  0.95358 |   7.47864 |G|  5240| 0.017480 |    |13.61|  0.000|41|1|34|5|7|7|0
78|FGC 0001|  1.01250 |  -6.97917 |G|  3725| 0.012425 |    |16.7 |  0.000|7|1|4|1|0|0|0
79|GALEXASC J000411.74+171950.1  |  1.04875 |  17.33028 |G|  5478| 0.018273 |    |17.7B|  0.000|1|0|4|0|0|0|0
80|UGC 00020|  1.06042 |  80.28917 |G|  4153| 0.013853 |    |16.0 |  0.000|9|0|2|2|1|3|0
81|UGC 00024|  1.06125 |  22.58861 |G|  4442| 0.014817 |    |15.18|  0.000|25|1|14|2|4|4|0
82|GALEXASC J000421.59+002537.2  |  1.09004 |   0.42649 |G|  3795| 0.012660 |    |19.79|  0.000|3|0|9|1|0|0|0
83|NGC 7819|  1.10227 |  31.47206 |G|  4958| 0.016538 |    |14.18|  0.000|64|1|30|9|10|8|0
84|UGC 00025|  1.10429 |   6.17767 |G|  5071| 0.016915 |    |16.0 |  0.000|17|0|23|2|2|6|0
85|CGCG 548-024|  1.11157 |  47.49030 |G|  5269| 0.017575 |    |15.1 |  0.000|8|0|14|4|2|4|0
86|UGC 00027|  1.12013 |   5.84711 |G|  3118| 0.010401 |    |14.70|  0.000|25|1|20|2|7|7|0
87|NGC 7820|  1.12829 |   5.20028 |G|  3053| 0.010184 |    |13.87|  0.000|23|1|21|3|4|7|0
88|6dF J0004320-220502|  1.13348 | -22.08428 |G|  3081| 0.010277 |    |16.30|  0.000|4|0|1|2|1|0|0
89|UGC 00030|  1.13629 |  33.55953 |G|  4760| 0.015878 |    |16.0 |  0.000|15|2|14|2|2|5|0
90|UGC 00026b|  1.14607 |  31.71166 |G|  4845| 0.016161 |    |16.47|  0.000|11|1|2|1|1|0|0
91|SDSS J000435.81+152217.1|  1.14925 |  15.37144 |G|  5406| 0.018034 |    |17.9g|  0.000|4|0|24|1|2|4|0
92|NGC 7823|  1.18996 | -62.06156 |G|  4539| 0.015140 |    |13.40|  0.000|16|1|27|5|2|16|0
93|UGC 00033|  1.24079 |   5.12344 |G|  5357| 0.017869 |    |14.99|  0.000|18|0|16|2|2|7|0
94|WBL 002|  1.24108 |   5.19502 |GGroup|  4347| 0.014500 |    |     |  0.000|1|0|0|0|0|0|0
95|UGCl 002 NED01|  1.24130 |   8.01168 |GClstr|  3500| 0.011675 |    |     |  0.000|2|0|0|0|0|0|0
96|UGCl 002 NED02|  1.24130 |   8.01168 |GClstr|  5125| 0.017095 |    |     |  0.000|2|0|0|0|0|0|0
97|IC 1528|  1.27238 |  -7.09342 |G|  3807| 0.012699 |    |13.50|  0.000|22|1|23|3|5|6|0
98|AGC 102740|  1.28167 |  29.96667 |RadioS|  4883| 0.016288 |    |     |  0.000|1|0|0|0|1|0|0
99|UGC 00035|  1.28875 |   6.26000 |G|  3113| 0.010384 |    |17.  |  0.000|13|1|5|2|3|3|0
100|UZC-CG 002|  1.32500 |   5.17389 |GTrpl|  5497| 0.018336 |    |     |  0.000|1|0|0|0|0|0|0
101|2dFGRS S359Z176|  1.35792 | -30.74167 |G|  3678| 0.012267 |    |19.05|  0.000|1|0|1|2|1|0|0
102|UGC 00037|  1.36254 |   5.17647 |G|  5824| 0.019427 |    |14.49|  0.000|20|2|19|2|4|7|0
103|NGC 7827|  1.36525 |   5.22233 |G|  5294| 0.017659 |    |14.93|  0.000|20|1|18|2|3|7|0
104|CGCG 548-025|  1.36678 |  46.54363 |G|  4971| 0.016581 |    |15.3 |  0.000|7|0|10|4|2|2|0
105|AGC 102741|  1.38333 |  31.86361 |RadioS|  5024| 0.016758 |    |     |  0.000|1|0|0|0|1|0|0
106|HDCE 0002|  1.40958 |   5.15889 |GGroup|  5465| 0.018229 |    |     |  0.000|2|0|0|0|1|0|0
107|GALEXASC J000539.99-264148.9  |  1.41671 | -26.69708 |G|  5996| 0.020000 |    |18.53|  0.000|1|0|5|2|1|0|0
108|LDCE 0003|  1.42417 |   5.15306 |GTrpl|  5340| 0.017812 |    |     |  0.000|1|0|0|0|1|0|0
109|ESO 538- G 021|  1.44124 | -22.07848 |G|  3148| 0.010501 |    |16.97|  0.000|5|1|7|3|0|11|0
110|GALEXASC J000547.77-620713.6  |  1.44938 | -62.12044 |G|  4541| 0.015147 |    |15.50|  0.000|5|0|5|2|1|0|0
111|2MASX J00054992+1721121|  1.45803 |  17.35345 |G|  5439| 0.018143 |    |16.17|  0.000|2|0|13|1|1|2|0
112|PPS2 056|  1.46617 |   5.11834 |GGroup|  5275| 0.017595 |    |     |  0.000|1|0|0|0|0|0|0
113|MCG -02-01-022|  1.48400 | -13.97936 |G|  5921| 0.019750 |    |15   |  0.000|8|1|10|2|1|6|0
114|MCG -02-01-023|  1.48704 | -13.99575 |G|  5751| 0.019183 |    |15.7b|  0.000|6|1|14|2|2|4|0
115|UGC 00043|  1.50994 |  14.41748 |G|  5291| 0.017649 |    |16.7g|  0.000|13|0|37|4|5|11|0
116|KUG 0003+270|  1.51073 |  27.34746 |G|  3182| 0.010614 |    |17   |  0.000|11|1|6|1|2|1|0
117|UGC 00042|  1.52667 |  13.12500 |G|  5481| 0.018283 |    |17.  |  0.000|9|1|4|2|3|3|0
118|GALEXASC J000607.53-044954.1  |  1.53146 |  -4.83206 |G|  5486| 0.018300 |    |18.74|  0.000|0|0|9|2|1|0|0
119|HDCE 0003|  1.54500 |  47.01639 |GGroup|  5162| 0.017219 |    |     |  0.000|1|0|0|0|1|0|0
120|UGC 00045|  1.55571 |  54.53200 |G|  5588| 0.018640 |    |15.38|  0.000|11|0|16|3|2|5|0
121|UGC 00044|  1.58003 |  19.73542 |G|  5936| 0.019800 |    |17.  |  0.000|14|0|10|2|4|3|0
122|[HB89] 0003+199 ABS03|  1.58133 |  20.20291 |AbLS|  4270| 0.014243 |    |     |  0.000|3|0|0|0|0|0|0
123|2MASX J00061957+1419389|  1.58171 |  14.32744 |G|  5456| 0.018198 |    |16.9g|  0.000|6|0|51|2|2|10|0
124|UGC 00046 NED01|  1.58958 |  17.43007 |G|  5448| 0.018173 |    |16   |  0.000|13|0|13|1|4|3|0
125|UGC 00046|  1.59051 |  17.43359 |GPair|  5506| 0.018366 |    |14.60|  0.000|16|2|10|4|4|3|0
126|UGC 00046 NED02|  1.59125 |  17.43728 |G|  5576| 0.018600 |    |16   |  0.000|12|0|10|2|2|3|0
127|KUG 0003+235|  1.59521 |  23.78936 |G|  4574| 0.015257 |    |16  :|  0.000|10|0|15|1|0|2|0
128|NGC 7828|  1.61279 | -13.41611 |G|  5729| 0.019110 |    |14.4 |  0.000|35|3|21|3|2|4|0
129|ARP 144|  1.61667 | -13.41833 |GPair|  5800| 0.019347 |    |14   |  0.000|16|5|8|0|0|1|0
130|NGC 7829|  1.62075 | -13.42061 |G|  5717| 0.019070 |    |15.4b|  0.000|21|3|26|0|3|4|0
131|2MFGC 00091|  1.62205 |  14.18235 |G|  5368| 0.017906 |    |17.0g|  0.000|9|0|51|2|2|10|0
132|UGC 00048|  1.65346 |  47.87897 |G|  4322| 0.014417 |    |16.0 |  0.000|15|0|15|1|2|7|0
133|NGC 7834|  1.65758 |   8.36789 |G|  5231| 0.017449 |    |14.95|  0.000|19|1|20|3|5|7|0
134|[KHE97]:O 0010-055|  1.66295 |  12.55164 |G|  4890| 0.016310 |    |17.68|  0.000|1|0|0|0|0|0|0
135|UGC 00051|  1.66821 |   5.11347 |G|  5368| 0.017906 |    |15.02|  0.000|23|0|22|2|5|7|0
136|CGCG 408-033|  1.69933 |   4.93706 |G|  5281| 0.017616 |    |15.6 |  0.000|13|0|20|1|2|3|0
137|UGC 00052|  1.70617 |   8.62850 |G|  5257| 0.017535 |    |14.1B|  0.000|50|0|33|4|7|7|0
138|UGC 00054|  1.72442 |  41.74036 |G|  4247| 0.014166 |    |17.  |  0.000|10|0|0|2|0|3|0
139|UGCA 001|  1.74487 |  -6.95411 |G|  3885| 0.012958 |    |16   |  0.000|7|1|4|1|1|3|0
140|SDSS J000659.58+145014.5|  1.74829 |  14.83736 |G|  5444| 0.018159 |    |18.0g|  0.000|4|0|24|1|1|4|0
141|UGC 00056|  1.75667 |  14.10658 |G|  5467| 0.018235 |    |15.7g|  0.000|20|0|36|2|5|9|0
142|WBL 003|  1.76669 |   8.32830 |GGroup|  4566| 0.015230 |    |     |  0.000|1|0|0|0|0|0|0
143|SDSS J000711.54+134607.9|  1.79808 |  13.76886 |G|  5371| 0.017916 |    |22.0g|  0.000|3|0|28|1|2|4|1
144|KUG 0004+134|  1.79867 |  13.76819 |G|  5412| 0.018052 |    |15.7 |  0.000|12|0|7|2|1|0|1
145|GALEXASC J000715.39-041321.1  |  1.81400 |  -4.22311 |G|  3627| 0.012100 |    |19.35|  0.000|0|0|9|2|1|0|0
146|NGC 0001|  1.81600 |  27.70808 |G|  4550| 0.015177 |    |13.65|  0.000|72|3|42|6|12|8|0
147|NGC 0003|  1.82000 |   8.30164 |G|  3900| 0.013009 |    |14.2 |  0.000|27|2|30|5|5|6|0
148|ESO 078- G 016|  1.83017 | -64.54356 |G|  4908| 0.016371 |    |16.11|  0.000|9|1|20|5|1|14|0
149|NGC 7831|  1.83137 |  32.60925 |G|  5076| 0.016932 |    |13.60|  0.000|54|2|26|9|7|6|0
150|UGC 00060a|  1.83327 |  32.57493 |G|  5005| 0.016695 |    |14.17|  0.000|5|0|0|0|0|0|0
151|UGC 00061|  1.84911 |  47.04083 |G|  5354| 0.017859 |    |13.8 |  0.000|17|1|11|5|4|6|0
152|CGCG 548-026|  1.85273 |  46.98885 |G|  5097| 0.017002 |    |15.3 |  0.000|11|0|10|4|2|4|0
153|2MASX J00072596-0454471|  1.85813 |  -4.91303 |G|  5578| 0.018606 |    |15.1R|  0.000|3|0|17|0|1|2|0
154|GALEXASC J000726.89-334245.2  |  1.86179 | -33.71306 |G|  4317| 0.014400 |    |18.80|  0.000|2|0|5|2|1|0|0
155|AGC 100045|  1.86375 |  32.07139 |G|  4864| 0.016225 |    |17.2 |  0.000|7|1|1|0|1|0|0
156|GALEXASC J000730.04-475831.3  |  1.87428 | -47.97551 |G|  5410| 0.018046 |    |16.41|  0.000|1|0|5|2|1|0|0
157|2dFGRS S805Z089|  1.87842 | -56.46792 |G|  3268| 0.010900 |    |17.48|  0.000|2|0|1|2|1|0|0
158|AGC 102745|  1.94000 |  31.79222 |RadioS|  4606| 0.015364 |    |     |  0.000|1|0|0|0|1|0|0
159|NGC 0005|  1.95363 |  35.36230 |G|  5111| 0.017048 |    |14.33|  0.000|17|2|15|4|4|6|0
160|NGC 7819 GROUP|  1.99914 |  32.29296 |GGroup|  5186| 0.017299 |    |     |  0.000|4|0|0|0|0|0|0
161|SDSS J000800.98+140118.6|  2.00409 |  14.02184 |G|  5437| 0.018136 |    |17.9g|  0.000|6|0|36|2|2|8|0
162|NGC 7836|  2.00682 |  33.07077 |G|  4904| 0.016358 |    |14.4 |  0.000|54|4|40|10|8|5|0
163|USGC U007|  2.02375 |  47.12833 |GTrpl|  5173| 0.017255 |    |     |  0.000|1|0|0|0|0|0|0
164|UGC 00060b|  2.02458 |  32.63350 |G|  5124| 0.017092 |    |15.5:|  0.000|9|0|13|1|0|2|0
165|UGC 00069|  2.04562 |  27.52814 |G|  4637| 0.015467 |    |14.49|  0.000|28|1|27|4|7|6|0
166|2MASX J00081221-2124043|  2.05092 | -21.40128 |G|  3113| 0.010384 |    |16.13|  0.000|4|0|14|2|1|2|0
167|HIPASS J0008-53|  2.05667 | -53.97111 |G|  3289| 0.010970 |    |     |  0.000|2|0|1|0|1|0|0
168|UGC 00070|  2.06108 |  49.76858 |G|  5212| 0.017385 |    |16.5 |  0.000|6|1|2|2|1|1|0
169|2dFGRS S359Z111|  2.08175 | -30.12345 |G|  3726| 0.012429 |:   |18.92|  0.000|0|0|1|1|0|0|0
170|FGC 0008|  2.10044 |  33.02883 |G|  4954| 0.016525 |    |17.08|  0.000|10|0|9|1|1|0|0
171|2MASX J00082485-6108048|  2.10358 | -61.13475 |G|  4565| 0.015227 |    |13.80|  0.000|1|0|9|0|1|2|0
172|LDCE 0004|  2.12417 |  32.89111 |GGroup|  4885| 0.016295 |    |     |  0.000|1|0|0|0|1|0|0
173|2MASX J00082994+1819269|  2.12449 |  18.32397 |G|  5606| 0.018700 |    |17.26|  0.000|8|0|13|1|0|2|0
174|GALEXASC J000832.43-153141.9  |  2.13529 | -15.52833 |G|  3448| 0.011500 |    |18.78|  0.000|1|0|5|2|1|0|0
175|GALEXASC J000833.58-334743.1  |  2.14012 | -33.79572 |G|  4917| 0.016400 |    |18.84|  0.000|2|0|5|2|1|0|0
176|2MASX J00083403+5530408|  2.14179 |  55.51139 |G|  5155| 0.017195 |    |10.7K|  0.000|8|0|18|0|0|2|0
177|SDSS J000840.40+140033.3|  2.16833 |  14.00928 |G|  5207| 0.017368 |    |18.3g|  0.000|3|0|21|1|3|4|0
178|SDSS J000841.55+141628.6|  2.17316 |  14.27463 |G|  5615| 0.018729 |    |17.6g|  0.000|6|0|36|2|2|8|0
179|NGC 0011|  2.17708 |  37.44792 |G|  4389| 0.014640 |    |14.59|  0.000|23|0|22|6|5|7|0
180|NGC 0012|  2.18646 |   4.61253 |G|  3941| 0.013146 |    |13.8 |  0.000|39|1|39|5|5|7|0
181|GALEXASC J000845.34-155851.9  |  2.18938 | -15.98142 |G|  3298| 0.011000 |    |18.67|  0.000|1|0|5|2|1|0|0
182|NGC 0013|  2.19883 |  33.43333 |G|  4808| 0.016038 |    |14.01|  0.000|43|2|22|6|7|7|0
183|UM 205|  2.19975 |  -2.41175 |G|  3708| 0.012369 |    |15   |  0.000|10|0|14|2|1|4|0
184|UGC 00076|  2.20504 |  24.54033 |G|  4581| 0.015281 |    |16.0 |  0.000|23|0|18|2|4|7|0
185|HIPASS J0008-02|  2.21042 |  -2.39667 |GPair|  3708| 0.012367 |    |     |  0.000|2|0|1|0|1|0|0
186|GALEXASC J000851.28-315159.7  |  2.21371 | -31.86678 |G|  5037| 0.016800 |:   |19.48|  0.000|2|0|5|2|1|0|0
187|NGC 0009|  2.22792 |  23.81697 |G|  4528| 0.015104 |    |14.35|  0.000|59|3|25|7|7|7|0
188|AGC 102561|  2.23458 |  26.23861 |G|  4405| 0.014693 |    |     |  0.000|2|0|1|0|2|0|0
189|2MASX J00085765-0836093|  2.24025 |  -8.60258 |G|  5416| 0.018066 |    |15.23|  0.000|8|0|14|1|2|2|0
190|MCG -01-01-039|  2.25100 |  -2.38231 |G|  3708| 0.012369 |    |14   |  0.000|9|0|13|2|2|4|0
191|NGC 0016|  2.26788 |  27.72942 |G|  3100| 0.010340 |    |13.00|  0.000|82|5|31|5|8|6|0
192|UGC 00079|  2.26837 |  25.61861 |G|  4336| 0.014463 |    |15.1 |  0.000|31|0|30|2|4|7|0
193|ESO 111- G 015|  2.29619 | -60.11134 |G|  4631| 0.015447 |    |16.12|  0.000|6|0|13|4|1|11|0
194|HDCE 0004|  2.29708 |  33.12667 |GGroup|  4873| 0.016255 |    |     |  0.000|1|0|0|0|1|0|0
195|GALEXASC J000914.07-344936.3  |  2.30875 | -34.82672 |G|  3448| 0.011500 |    |19.21|  0.000|1|0|9|2|1|0|0
196|2MASX J00091566+0048453|  2.31540 |   0.81259 |G|  5810| 0.019381 |    |17.7g|  0.000|4|0|52|3|2|10|0
197|UGC 00085|  2.36937 |  47.35583 |G|  5153| 0.017189 |    |14.3 |  0.000|22|0|24|5|5|7|0
198|V Zw 004|  2.38550 |  48.13225 |G|  5388| 0.017972 |    |15.0 |  0.000|11|1|19|4|3|6|0
199|NGC 0006|  2.38625 |  33.30867 |G|  4971| 0.016581 |    |14.04|  0.000|27|3|14|6|5|7|0
200|SDSS J000933.56+003922.1|  2.38986 |   0.65616 |G|  5996| 0.020000 |PHOT|20.9g|  0.000|1|0|8|2|1|4|0
201|GALEXASC J000935.50+253312.8  |  2.39792 |  25.55306 |G|  4642| 0.015484 |    |     |  0.000|2|0|9|0|2|0|0
202|2MASX J00094023-1025027|  2.41766 | -10.41742 |G|  5435| 0.018128 |    |16.5g|  0.000|6|0|53|3|2|10|0
203|USGC U008|  2.43083 |  33.15944 |GGroup|  4861| 0.016215 |    |     |  0.000|1|0|0|0|0|0|0
204|SDSS J000950.44-005504.0|  2.46019 |  -0.91779 |G|  4042| 0.013484 |    |17.9g|  0.000|5|0|44|3|1|8|0
205|UGC 00088|  2.46627 |   4.67506 |G|  4020| 0.013409 |    |15.25|  0.000|13|1|16|2|2|6|0
206|NGC 0023|  2.47254 |  25.92378 |G|  4566| 0.015231 |    |12.85|  0.000|262|11|99|10|14|10|0
